"","ETH.group","tot_births","mbirths","fbirths","year"
"1","BAN",12971.3115502505,6643.84250134782,6327.46904890268,"2011"
"2","BLA",21226.2366749478,10871.9748822903,10354.2617926575,"2011"
"3","BLC",6479.40391422018,3318.71907801521,3160.68483620496,"2011"
"4","CHI",4440.71728081743,2274.51372919917,2166.20355161826,"2011"
"5","IND",26853.3685569371,13754.1643828214,13099.2041741157,"2011"
"6","MIX",36887.4011674008,18893.5469394004,17993.8542280004,"2011"
"7","OAS",13711.8608232431,7023.14822653917,6688.71259670397,"2011"
"8","OBL",3833.46988485662,1963.48457517046,1869.98530968616,"2011"
"9","OTH",4704.44818766224,2409.59541319285,2294.85277446938,"2011"
"10","PAK",33369.6984680807,17091.796776334,16277.9016917467,"2011"
"11","WBI",505521.092167642,258925.437451719,246595.654715923,"2011"
"12","WHO",29791.4870829427,15259.054359556,14532.4327233867,"2011"
"13","BAN",12823.3631127914,6568.06403338095,6255.29907941043,"2012"
"14","BLA",21078.4391380278,10796.2737048435,10282.1654331843,"2012"
"15","BLC",6270.83147780405,3211.88929350939,3058.94218429466,"2012"
"16","CHI",4788.07568924411,2452.42901156406,2335.64667768005,"2012"
"17","IND",26808.3474939653,13731.1048139822,13077.2426799831,"2012"
"18","MIX",36833.4668678176,18865.9220542481,17967.5448135696,"2012"
"19","OAS",13623.3611891984,6977.81914568698,6645.5420435114,"2012"
"20","OBL",3782.84122917566,1937.55282469973,1845.28840447593,"2012"
"21","OTH",4739.00626571068,2427.29589219328,2311.71037351741,"2012"
"22","PAK",33184.5165534991,16996.9475030117,16187.5690504874,"2012"
"23","WBI",494387.496180905,253222.863897537,241164.632283368,"2012"
"24","WHO",30027.5109440559,15379.9446298823,14647.5663141736,"2012"
"25","BAN",12625.9083623415,6466.92867339441,6158.97968894706,"2013"
"26","BLA",20862.0676724144,10685.4492956269,10176.6183767875,"2013"
"27","BLC",6042.07695484069,3094.72234272328,2947.35461211741,"2013"
"28","CHI",5151.97218755494,2638.81502289399,2513.15716466095,"2013"
"29","IND",26643.7013782547,13646.7738766671,12996.9275015877,"2013"
"30","MIX",36646.400767671,18770.1077102705,17876.2930574005,"2013"
"31","OAS",13507.2130362917,6918.32862834454,6588.88440794718,"2013"
"32","OBL",3722.77017814486,1906.78472539127,1815.98545275359,"2013"
"33","OTH",4760.29681274424,2438.20080652754,2322.0960062167,"2013"
"34","PAK",32895.0279633585,16848.6728592812,16046.3551040773,"2013"
"35","WBI",481079.8272576,246406.740790478,234673.086467122,"2013"
"36","WHO",30152.7393996335,15444.0860339586,14708.6533656749,"2013"
"37","BAN",12821.7598770158,6567.24286383735,6254.51701317843,"2014"
"38","BLA",21327.3124962909,10923.7454249295,10403.5670713614,"2014"
"39","BLC",6006.01422774917,3076.25118982274,2929.76303792642,"2014"
"40","CHI",5625.56908107473,2881.38904152608,2744.18003954865,"2014"
"41","IND",27102.2400736056,13881.6351596516,13220.604913954,"2014"
"42","MIX",37412.3748990818,19162.4359239199,18249.9389751618,"2014"
"43","OAS",13795.639230324,7066.05911797082,6729.58011235316,"2014"
"44","OBL",3783.30559546083,1937.79067084579,1845.51492461504,"2014"
"45","OTH",4906.382562536,2513.02521495746,2393.35734757854,"2014"
"46","PAK",33499.4678370783,17158.2640141133,16341.203822965,"2014"
"47","WBI",479632.024118808,245665.183085243,233966.841033565,"2014"
"48","WHO",31067.8298867905,15912.7909176244,15155.0389691661,"2014"
"49","BAN",13161.2729817206,6741.13981990569,6420.13316181495,"2015"
"50","BLA",22030.9386440625,11284.1393054954,10746.7993385671,"2015"
"51","BLC",6042.85717107229,3095.12196567117,2947.73520540112,"2015"
"52","CHI",6077.26964553179,3112.7478672236,2964.52177830819,"2015"
"53","IND",27597.4322175289,14135.2701601977,13462.1620573312,"2015"
"54","MIX",38378.1217418113,19657.0867458058,18721.0349960055,"2015"
"55","OAS",14192.3644131252,7269.25982135682,6923.1045917684,"2015"
"56","OBL",3889.1340141925,1991.99547068396,1897.13854350853,"2015"
"57","OTH",5072.3274185459,2598.02136071863,2474.30605782727,"2015"
"58","PAK",34324.2841205397,17580.7308910081,16743.5532295316,"2015"
"59","WBI",480751.07771649,246238.356879178,234512.720837312,"2015"
"60","WHO",32099.1985563501,16441.0529191061,15658.1456372439,"2015"
"61","BAN",13552.235086621,6941.38870290343,6610.84638371755,"2016"
"62","BLA",22797.8757008204,11676.9607248105,11120.91497601,"2016"
"63","BLC",6102.47463566647,3125.65774021941,2976.81689544706,"2016"
"64","CHI",6526.72780130075,3342.95814212965,3183.7696591711,"2016"
"65","IND",28126.314593584,14406.1611332991,13720.1534602849,"2016"
"66","MIX",39445.978872091,20204.0379588759,19241.9409132151,"2016"
"67","OAS",14638.3128695062,7497.67244535685,7140.64042414938,"2016"
