"","ETH.group","agegrp","sex","deaths","year"
"1","BAN","[0,5)","F",12.8390629320619,"2011"
"2","BAN","[0,5)","M",14.7405613783474,"2011"
"3","BAN","[5,10)","F",2.1442004013266,"2011"
"4","BAN","[5,10)","M",4.20090744332099,"2011"
"5","BAN","[10,15)","F",2.17302056804711,"2011"
"6","BAN","[10,15)","M",2.99234712612806,"2011"
"7","BAN","[15,20)","F",3.13891294255629,"2011"
"8","BAN","[15,20)","M",7.24021521728968,"2011"
"9","BAN","[20,25)","F",2.77361491059054,"2011"
"10","BAN","[20,25)","M",8.75073017692652,"2011"
"11","BAN","[25,30)","F",5.52622237217007,"2011"
"12","BAN","[25,30)","M",10.1605385950096,"2011"
"13","BAN","[30,35)","F",8.85992429730826,"2011"
"14","BAN","[30,35)","M",15.3147917473101,"2011"
"15","BAN","[35,40)","F",9.62040059663325,"2011"
"16","BAN","[35,40)","M",22.7093108108051,"2011"
"17","BAN","[40,45)","F",10.4148598929607,"2011"
"18","BAN","[40,45)","M",27.4054483582275,"2011"
"19","BAN","[45,50)","F",12.9945962513238,"2011"
"20","BAN","[45,50)","M",28.7002134184607,"2011"
"21","BAN","[50,55)","F",15.1035517890602,"2011"
"22","BAN","[50,55)","M",37.2099345690285,"2011"
"23","BAN","[55,60)","F",26.9296722024766,"2011"
"24","BAN","[55,60)","M",35.9212106441252,"2011"
"25","BAN","[60,65)","F",30.2227137949011,"2011"
"26","BAN","[60,65)","M",16.7339235009781,"2011"
"27","BAN","[65,70)","F",35.5989451229438,"2011"
"28","BAN","[65,70)","M",42.0676905337292,"2011"
"29","BAN","[70,75)","F",54.4728351075909,"2011"
"30","BAN","[70,75)","M",109.236679462311,"2011"
"31","BAN","[75,80)","F",49.8130557856744,"2011"
"32","BAN","[75,80)","M",104.182325198426,"2011"
"33","BAN","[80,85)","F",32.2962516998845,"2011"
"34","BAN","[80,85)","M",75.414939323774,"2011"
"35","BAN","[85,90)","F",18.5225817183337,"2011"
"36","BAN","[85,90)","M",22.8370753049181,"2011"
"37","BAN","[90,95)","F",9.30589061474002,"2011"
"38","BAN","[90,95)","M",10.551957482344,"2011"
"39","BAN","[95,100)","F",3.62019303910477,"2011"
"40","BAN","[95,100)","M",3.1981976111821,"2011"
"41","BAN","[100,105)","F",2.45958593005427,"2011"
"42","BAN","[100,105)","M",0.413366581367212,"2011"
"43","BLA","[0,5)","F",23.2572087680562,"2011"
"44","BLA","[0,5)","M",27.4092154901794,"2011"
"45","BLA","[5,10)","F",5.07434013267197,"2011"
"46","BLA","[5,10)","M",5.10141819446605,"2011"
"47","BLA","[10,15)","F",5.36200176849865,"2011"
"48","BLA","[10,15)","M",5.23798682363712,"2011"
"49","BLA","[15,20)","F",6.19563452825874,"2011"
"50","BLA","[15,20)","M",12.2119039645179,"2011"
"51","BLA","[20,25)","F",6.61854103917305,"2011"
"52","BLA","[20,25)","M",15.2710249782661,"2011"
"53","BLA","[25,30)","F",9.83654080997086,"2011"
"54","BLA","[25,30)","M",17.6533003101089,"2011"
